ts_code,name,benchmark,found_date,amount
159280.SZ,港股通互联网ETF汇添富,国证港股通互联网指数收益率(经估值汇率调整后),20250806,8363.061
563620.SH,全指现金流ETF兴业,中证全指自由现金流指数收益率,20250806,4584.876
159277.SZ,港股通红利ETF富国,中证港股通高股息投资指数收益率(使用估值汇率折算),20250805,7939.457
520670.SH,港股通科技ETF嘉实,经估值汇率调整后的恒生港股通科技主题指数收益率,20250804,25857.65
589850.SH,科创50ETF东财,上证科创板50成份指数收益率,20250801,98298.645
159271.SZ,恒生ETF鹏华,恒生指数收益率(经汇率调整后),20250730,5887.442
520970.SH,港股通创新药ETF嘉实,中证港股通创新药指数收益率(经估值汇率调整后),20250730,55310.637
159278.SZ,机器人ETF鹏华,国证机器人产业指数收益率,20250730,70379.049
589050.SH,科创综指ETF兴业,上证科创板综合价格指数收益率,20250730,6066.614
159273.SZ,云计算ETF汇添富,中证沪港深云计算产业指数收益率,20250728,37775.278
512030.SH,中证A50增强ETF易方达,中证A50指数收益率,20250728,144.947
520510.SH,港股通医疗ETF华夏,中证港股通医疗主题指数收益率(经估值汇率调整后),20250728,96765.566
159255.SZ,通用航空ETF易方达,国证通用航空产业指数收益率,20250725,8685.784
159258.SZ,机器人ETF南方,中证机器人指数收益率,20250724,35947.26
159256.SZ,创业板软件ETF华夏,创业板软件指数收益率,20250724,67476.742
589200.SH,科创200ETF工银,上证科创板200指数收益率,20250723,4974.974
520690.SH,港股创新药ETF博时,恒生港股通创新药精选指数收益率(经估值汇率调整后),20250723,82574.934
589720.SH,科创创新药ETF国泰,上证科创板创新药指数收益率,20250723,196959.491
588980.SH,科创100ETF广发,上证科创板100指数收益率,20250723,3176.426
560120.SH,中证500现金流ETF华夏,中证500自由现金流指数收益率,20250723,32348.892
159266.SZ,港股央企红利ETF永赢,中证港股通央企红利指数收益率(按照估值汇率折算),20250723,19046.624
159267.SZ,航天ETF华安,国证航天航空行业指数收益率,20250721,148479.744
180901.SZ,南方润泽科技数据中心REIT,,20250718,6034.107
508060.SH,南方万国数据中心REIT,,20250718,8921.638
159276.SZ,现金流ETF汇添富,国证自由现金流指数收益率,20250717,15439.471
562870.SH,证券ETF嘉实,中证全指证券公司指数收益率,20250717,6081.327
159270.SZ,创业板200ETF南方,创业板中盘200指数收益率,20250716,11744.986
159257.SZ,航空ETF汇添富,国证通用航空产业指数收益率,20250716,10273.804
589550.SH,科创价值ETF华夏,上证智选科创板价值50策略指数收益率,20250716,1975.685
588920.SH,科创芯片ETF鹏华,上证科创板芯片指数收益率,20250716,64837.221
520860.SH,港股通科技ETF富国,中证港股通科技指数收益率(使用估值汇率折算),20250716,77718.5
159242.SZ,创业板人工智能ETF大成,创业板人工智能指数收益率,20250716,73158.21
563580.SH,自由现金流800ETF万家,中证800自由现金流指数收益率,20250716,9566.101
159251.SZ,港股通科技ETF万家,国证港股通科技指数收益率(经估值汇率调整),20250714,21399.419
508039.SH,创金合信首农REIT,,20250714,4435.573
508016.SH,华夏华电清洁能源REIT,,20250714,4368.395
159400.SZ,科创债ETF景顺,深证AAA科技创新公司债指数收益率,20250710,1170064.374
511120.SH,科创债ETF广发,上证AAA科技创新公司债指数收益率,20250710,787012.741
551500.SH,科创债ETF易方达,中证AAA科技创新公司债指数收益率,20250710,154085.348
159248.SZ,人工智能ETF万家,中证人工智能主题指数收益率,20250710,0.0
551030.SH,科创债ETF鹏华,上证AAA科技创新公司债指数收益率,20250710,0.0
551000.SH,科创债ETF博时,上证AAA科技创新公司债指数收益率,20250710,0.0
551900.SH,科创债ETF招商,中证AAA科技创新公司债指数收益率,20250710,0.0
159600.SZ,科创债ETF嘉实,中证AAA科技创新公司债指数收益率,20250710,0.0
159200.SZ,科创债ETF富国,中证AAA科技创新公司债指数收益率,20250710,0.0
551550.SH,科创债ETF华夏,中证AAA科技创新公司债指数收益率,20250710,0.0
159700.SZ,科创债ETF南方,中证AAA科技创新公司债指数收益率,20250710,0.0
159268.SZ,港股通消费ETF汇添富,国证港股通消费主题指数收益率(经估值汇率调整后),20250710,0.0
512060.SH,中证A100ETF天弘,中证A100指数收益率,20250709,0.0
160641.SZ,鹏华丰锐LOF,中债总指数收益率,20250708,0.0
159311.SZ,数字经济ETF易方达,中证数字经济主题指数收益率,20250707,0.0
159246.SZ,创业板人工智能ETF富国,创业板人工智能指数收益率,20250702,0.0
159269.SZ,港股通科技ETF南方,中证港股通科技指数(人民币)收益率,20250630,0.0
159263.SZ,价值ETF易方达,国证价值100指数收益率,20250630,0.0
520880.SH,港股通创新药ETF华宝,经人民币汇率调整的恒生港股通创新药精选指数收益率,20250627,0.0
588520.SH,科创增强ETF永赢,上证科创板综合价格指数收益率,20250627,0.0
159262.SZ,港股通科技ETF广发,同期恒生港股通科技主题指数收益率(使用估值汇率折算),20250626,0.0
508090.SH,中银中外运仓储物流REIT,,20250626,0.0
159261.SZ,创业板新能源ETF鹏华,创业板新能源指数收益率,20250625,0.0
159223.SZ,现金流ETF永赢,国证自由现金流指数收益率,20250625,0.0
159237.SZ,港股汽车ETF工银,经汇率调整后的中证港股通汽车产业主题指数收益率,20250625,0.0
589380.SH,科创AIETF富国,上证科创板人工智能指数收益率,20250620,0.0
159249.SZ,A500增强ETF工银,中证A500指数收益率,20250620,0.0
563630.SH,A500增强ETF国联安,中证A500指数收益率,20250619,0.0
180606.SZ,中金中国绿发商业REIT,,20250619,0.0
520980.SH,港股通科技ETF汇添富,恒生港股通中国科技指数收益率(经估值汇率调整后),20250618,0.0
159365.SZ,恒指港股通ETF富国,恒指港股通指数收益率(使用估值汇率折算),20250618,0.0
159265.SZ,港股消费ETF鹏华,国证港股通消费主题指数收益率(经汇率调整后),20250618,0.0
159550.SZ,互联网ETF东财,中证沪港深互联网指数收益率,20250618,0.0
